Line-number,Type,State,County,Town,FIPS,Server-owner,ArcGIS-url,https,Show-contents,SSL,Open,Comment
40,1,,,,,DOC - nowCOAST,https://nowcoast.noaa.gov/arcgis/rest/services,Y,Y,OK,Y,
41,1,,,,,DOC - National Center for Environmental Information,https://gis.ngdc.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, cdo directory has good weather data. Also countries outline, but no names. 
42,1,,,,,DOC - National Center for Environmental Information,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer,Y,Y,OK,Y, Includes tsunami data 
43,1,,,,,DOC - Electronic Nautical Charts (ENC),https://encdirect.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 
44,1,,,,,DOC - Electronic Nautical Charts (ENC),https://wrecks.nauticalcharts.noaa.gov/arcgis/rest/services,Y,Y,OK,Y,
45,1,,,,,DOC - Gulf of Mexico Fishery Management Council,https://portal.gulfcouncil.org/arcgis/rest/services,Y,Y,OK,Y,
46,1,,,,,DOD - Air Force Recruiting Service,https://parcelviewer.geodecisions.com/arcgis/rest/services/AFRS/AFRS_Data/MapServer,Y,Y,OK,Y,
47,1,,,,,DOD - Army Corps of Engineers - Readiness Support Center,https://ienccloud.us/arcgis/rest/services,Y,Y,OK,Y, 
48,1,,,,,DOD - Army Corps of Engineers - Readiness Support Center,https://services7.arcgis.com/n1YM8pTrFmm7L4hs/ArcGIS/rest/services,Y,Y,OK,Y, 
49,1,,,,,DOD - Arlington National Cemetery,https://ancexplorer.army.mil/arcgis/rest/services,Y,Y,OK,Y,
50,1,,,,,DOEd - Data and Statistics,https://nces.ed.gov/opengis/rest/services,Y,Y,OK,Y,
51,1,,,,,DOE - Legacy Management,https://gems.lm.doe.gov/arcgis/rest/services,Y,Y,OK,Y,
52,1,,,,,DOE - Argonne National Laboratory,https://disgeoportal.egs.anl.gov/arcgis/rest/services,Y,Y,OK,Y,
53,1,,,,,DOE - Energy Information Administration (EIA),https://services.arcgis.com/jDGuO8tYggdCCnUJ/arcgis/rest/services,Y,Y,OK,Y,
54,1,,,,,HHS - Website: https://www.hhs.gov/,https://geohealth.hhs.gov/dataaccess/rest/services,Y,Y,OK,Y,
55,1,,,,,HHS - Health Resources and Services Administration (HRSA),https://gisportal.hrsa.gov/server/rest/services,Y,Y,OK,Y,
56,1,,,,,HHS - Indian Health Service,https://maps.ihs.gov/server/rest/services,Y,Y,OK,Y,
57,1,,,,,DHS - Federal Emergency Management Agency (FEMA),https://hazards.fema.gov/gis/nfhl/rest/services,Y,Y,OK,Y, 
58,1,,,,,DHS - Federal Emergency Management Agency (FEMA),https://gis.fema.gov/arcgis/rest/services/,Y,Y,OK,Y, 
59,1,,,,,DHS - Federal Emergency Management Agency (FEMA),https://gis.fema.gov/arcgis/rest/services/Partner/Fire_List_Current/MapServer,Y,Y,OK,Y, Wildland fires 
60,1,,,,,DHS - Federal Emergency Management Agency (FEMA),https://services.arcgis.com/XG15cJAlne2vxtgt/ArcGIS/rest/services,Y,Y,OK,Y,
61,1,,,,,DHS - Various layers,https://gii.dhs.gov/host/rest/services,Y,Y,OK,Y,
62,1,,,,,HUD - Geospatial Data Storefront,https://egis.hud.gov/arcgis/rest/services,Y,Y,OK,Y,
63,1,,,,,HUD - Location Affordability Portal,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services,Y,Y,OK,Y,
64,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/arcgis/rest/services,Y,Y,OK,Y, 
65,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/orarcgis/rest/services,Y,Y,OK,Y, 
66,1,,,,,DOI - Bureau of Land Management,https://fire.ak.blm.gov/arcgis/rest/services,Y,Y,OK,Y, Includes Alaska wildland fires 
67,1,,,,,DOI - Bureau of Land Management,https://landscape.blm.gov/nwparcgis/rest/services,Y,Y,OK,Y, 
68,1,,,,,DOI - Bureau of Land Management,https://landscape.blm.gov/cyrarcgis/rest/services,Y,Y,OK,Y, 
69,1,,,,,DOI - Bureau of Land Management,https://landscape.blm.gov/nosarcgis/rest/services,Y,Y,OK,Y, 
70,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/azarcgis/rest/services,Y,Y,OK,Y,Arizona
71,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/coarcgis/rest/services,Y,Y,OK,Y,Colorado
72,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/nmarcgis/rest/services,Y,Y,OK,Y,New Mexico
73,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/utarcgis/rest/services,Y,Y,OK,Y,Utah 
74,1,,,,,DOI - Bureau of Ocean Energy Management,https://gis.boem.gov/arcgis/rest/services,Y,Y,OK,Y, Above server produces an unusual message. 
75,1,,,,,DOI - Bureau of Ocean Energy Management,https://gis.blm.gov/azarcgis/rest/services,Y,Y,OK,Y,
76,1,,,,,DOI - Bureau of Reclamation,https://geo.usbr.gov/server/rest/services,Y,Y,OK,Y,
77,1,,,,,DOI - Fish and Wildlife Service,https://gis.wim.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 
78,1,,,,,DOI - Fish and Wildlife Service,https://cbrsgis.wim.usgs.gov/arcgis/rest/services,Y,Y,OK,Y,Coastal Barrier Resources System
79,1,,,,,DOI - Fish and Wildlife Service,https://services.arcgis.com/QVENGdaPbd4LUkLV/ArcGIS/rest/services,Y,Y,OK,Y, 
80,1,,,,,DOI - Fish and Wildlife Service,https://services.arcgis.com/QVENGdaPbd4LUkLV/arcgis/rest/services,Y,Y,OK,Y, 
81,1,,,,,DOI - Fish and Wildlife Service,https://tiles.arcgis.com/tiles/QVENGdaPbd4LUkLV/arcgis/rest/services,Y,Y,OK,Y,
82,1,,,,,DOI - Bureau of Indian Affairs,https://biamaps.doi.gov/server/rest/services,Y,Y,OK,Y,
83,1,,,,,DOI - National Park Service (NPS),https://mapservices.nps.gov/arcgis/rest/services,Y,Y,OK,Y, 
84,1,,,,,DOI - National Park Service (NPS),https://mobilegis.nps.gov/arcgis/rest/services,Y,Y,OK,Y,Link works but maybe no data
85,1,,,,,DOI - National Park Service (NPS),https://services1.arcgis.com/fBc8EJBxQRMcHlei/ArcGIS/rest/services,Y,Y,OK,Y, 
86,1,,,,,DOI - National Park Service (NPS),https://services.arcgis.com/EeCmkqXss9GYEKIZ/ArcGIS/rest/services,Y,Y,OK,Y, Includes Ice Age National Scenic Trail 
87,1,,,,,DOI - National Park Service (NPS),https://services2.arcgis.com/UfGVyqUm4GHa2zrj/ArcGIS/rest/services,Y,Y,OK,Y, Includes North Country National Scenic Trail 
88,1,,,,,DOI - Integrated Resource Management Applications,https://irmaservices.nps.gov/arcgis/rest/services,Y,Y,OK,Y,
89,1,,,,,DOI - Office of Surface Mining Reclamation and Enforcement (OSMRE),https://geoservices.osmre.gov/arcgis/rest/services,Y,Y,OK,Y,
90,1,,,,,USGS - The national map,https://basemap.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y,Includes USTopo basemap
91,1,,,,,USGS - The national map,https://services.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y,Includes NAIPPlus
92,1,,,,,USGS - The national map,https://index.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y, /USTopoAvailability/MapServer Layer 3 includes attribute data that lets you download the 7.5 minute vector topo map including data outside neatline. 
93,1,,,,,USGS - The national map,https://partnerships.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y, Includes a trail layer that supports dynamic layers 
94,1,,,,,USGS - The national map,https://hydro.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y, 
95,1,,,,,USGS - The national map,https://carto.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y, 
96,1,,,,,USGS - The national map,https://cartowfs.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y, 
97,1,,,,,USGS - The national map,https://elevation.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y, 
98,1,,,,,USGS - The national map,https://eerscmap.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, wind turbines: /uswtdb/uswtdbDyn/MapServer 
99,1,,,,,USGS - The national map,https://nimbus.cr.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, Here are two non-government data sources that are also used on the national map 
100,1,,,,,USGS - The national map,https://services.arcgisonline.com/arcgis/rest/services/USA_Topo_Maps/MapServer,Y,Y,OK,Y, 
101,1,,,,,USGS - Land Treatments Digital Library,https://srfs.wr.usgs.gov/arcgis/rest/services/LTDL_Tool,Y,Y,OK,Y,
102,1,,,,,USGS - Snake River Field Station,https://srfs.wr.usgs.gov/arcgis/rest/services,Y,Y,OK,Y,
103,1,,,,,USGS - Earthquake and landslide,https://earthquake.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 
104,1,,,,,USGS - Earthquake and landslide,https://earthquake.usgs.gov/arcgis/rest/services/ls/pwfdf_2020/MapServer,Y,Y,OK,Y, Example link for debris flow risk following wildland fire 
105,1,,,,,USGS - Wildland fire,https://wildfire.cr.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 
106,1,,,,,USGS - Wildland fire,https://rmgsc.cr.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, Above server has the same data as the ‘wildfire' server. 
107,1,,,,,USGS - Wildland fire,https://landfire.cr.usgs.gov/arcgis/rest/services,Y,Y,OK,Y,
108,1,,,,,Upper Midwest Environmental Sciences Center,https://umesc-gisdb03.er.usgs.gov/arcgis/rest/services,Y,Y,OK,Y,
109,1,,,,,USGS - Eastern Energy Resources Science Center,https://eerscmap.usgs.gov/arcgis/rest/services,Y,Y,OK,Y,
110,1,,,,,USGS - ScienceBase,https://gis.usgs.gov/sciencebase2/rest/services,Y,Y,OK,Y,
111,1,,,,,USGS - Web Informatics and Mapping (WiM),https://gis.wim.usgs.gov/arcgis/rest/services,Y,Y,OK,Y,
112,1,,,,,USGS - Other ArcGIS servers,https://certmapper.cr.usgs.gov/server/rest/services,Y,Y,OK,Y, 
113,1,,,,,USGS - Other ArcGIS servers,https://edcintl.cr.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 
114,1,,,,,USGS - Other ArcGIS servers,https://gis1.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 
115,1,,,,,USGS - Other ArcGIS servers,https://grandcanyon.usgs.gov/server/rest/services,Y,Y,OK,Y, Grand Canyon 
116,1,,,,,USGS - Other ArcGIS servers,https://rmgsc.cr.usgs.gov/ArcGIS/rest/services,Y,Y,OK,Y, 
117,1,,,,,DOT - Federal Highway Administration - Highway Safety Improvement Program (HSIP),https://geo.dot.gov/server/rest/services,Y,Y,OK,Y,
118,1,,,,,DOT - Federal Highway Administration - National Transportation Atlas Database (NTAD),https://geo.dot.gov/mapping/rest/services,Y,Y,OK,Y, Includes bridge and tunnel inventory 
119,1,,,,,DOT - Federal Aviation Administration (FAA),https://services6.arcgis.com/ssFJjBXIUyZDrSYZ/arcgis/rest/services,Y,Y,OK,Y, UAS_Part_107 has the drone ceiling data 
120,1,,,,,DOT - Federal Railroad Administration,https://fragis.fra.dot.gov/fragis/rest/services,Y,Y,OK,Y,
121,1,,,,,DOT - Various layers,https://fhfl15gisweb.flhd.fhwa.dot.gov/arcgis/rest/services,Y,Y,OK,Y, 
122,1,,,,,DOT - Various layers,https://geo.dot.gov/server/rest/services,Y,Y,OK,Y,
123,1,,,,,EPA - EnviroAtlas,https://enviroatlas.epa.gov/arcgis/rest/services,Y,Y,OK,Y,
124,1,,,,,EPA - Environmental Justice Screening and Mapping,https://ejscreen.epa.gov/arcgis/rest/services,Y,Y,OK,Y,
125,1,,,,,EPA - WATERS (Watershed Assessment - Tracking & Environmental Results System),https://watersgeo.epa.gov/ArcGIS/rest/services,Y,Y,OK,Y, 
126,1,,,,,EPA - WATERS (Watershed Assessment - Tracking & Environmental Results System),https://watersgeo.epa.gov/arcgis/rest/services,Y,Y,OK,Y,
127,1,,,,,EPA - Enforcement and Compliance History Online,https://echogeo.epa.gov/arcgis/rest/services,Y,Y,OK,Y,
128,1,,,,,EPA - Various layers,https://geopub.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 
129,1,,,,,EPA - Various layers,https://gispub.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 
130,1,,,,,EPA - Various layers,https://geodata.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 
131,1,,,,,EPA - Various layers,https://map22.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 
132,1,,,,,EPA - Various layers,https://map23.epa.gov/ArcGIS/rest/services,Y,Y,OK,Y, 
133,1,,,,,EPA - Various layers,https://map24.epa.gov/ArcGIS/rest/services,Y,Y,OK,Y,
134,1,,,,,NASA - SERVIR,https://gis1.servirglobal.net/arcgis/rest/services,Y,Y,OK,Y,
135,1,,,,,NASA - MODIS and VIIRS imagery as ImageServer data:,https://modis.arcgis.com/arcgis/rest/services,Y,Y,OK,Y,
136,1,,,,,NASA - Disaster related,https://maps.disasters.nasa.gov/ags01/rest/services,Y,Y,OK,Y, 
137,1,,,,,NASA - Disaster related,https://maps.disasters.nasa.gov/ags02/rest/services,Y,Y,OK,Y, 
138,1,,,,,NASA - Disaster related,https://maps.disasters.nasa.gov/ags03/rest/services,Y,Y,OK,Y, 
139,1,,,,,NASA - Disaster related,https://maps.disasters.nasa.gov/ags04/rest/services,Y,Y,OK,Y,
140,1,,,,,NASA - Langley Research Center,https://arcgis.asdc.larc.nasa.gov/server/rest/services,Y,Y,OK,Y,
141,1,,,,,NASA - Center for Climate Simulation,https://maps.nccs.nasa.gov/server/rest/services,Y,Y,OK,Y, 
142,1,,,,,NASA - Center for Climate Simulation,https://maps.nccs.nasa.gov/mapping/rest/services,Y,Y,OK,Y, Countries. Includes layer for country boundaries with dynamic layer support 
143,1,,,,,NASA - Center for Climate Simulation,https://maps.nccs.nasa.gov/image01/rest/services,Y,Y,OK,Y, 
144,1,,,,,NASA - Center for Climate Simulation,https://maps.nccs.nasa.gov/image02/rest/services,Y,Y,OK,Y,
145,1,,,,,NASA various layers,https://landsat2.arcgis.com/arcgis/rest/services,Y,Y,OK,Y, 
146,1,,,,,NASA various layers,https://landsat3.arcgis.com/arcgis/rest/services,Y,Y,OK,Y,
147,1,,,,,Social Security Administration,https://services6.arcgis.com/zFiipv75rloRP5N4/ArcGIS/rest/services,Y,Y,OK,Y,
148,1,,,,,U.S. Post Office,https://gis.usps.com/arcgis/rest/services,Y,Y,OK,Y,https://gis.usps.com/arcgis/rest/services/EDDM/EDDM_ZIP5/MapServer The following layers display at different zoom levels 
149,1,,,,,Civil Air Patrol,https://imageryuploader.geoplatform.gov/arcgis/rest/services,Y,Y,OK,Y,
150,1,,,,,Federal Geographic Data Committee (FGDC),https://inlandwaters.geoplatform.gov/arcgis/rest/services,Y,Y,OK,Y, 
151,1,,,,,Federal Geographic Data Committee (FGDC),https://disasters.geoplatform.gov/arcgis/rest/services,Y,Y,OK,Y,
152,2,Alabama,,,01,Alabama Department of Conservation and Natural Resources,https://conservationgis.alabama.gov/adcnrweb/rest/services,Y,Y,OK,Y,
153,2,Alabama,,,01,Alabama Department of Environmental Management,https://gis.adem.alabama.gov/arcgis/rest/services,Y,Y,OK,Y,
154,2,Alabama,,,01,Alabama Department of Transportation,https://aldotgis.dot.state.al.us/pubgis1/rest/services,Y,Y,OK,Y, 
155,2,Alabama,,,01,Alabama Department of Transportation,https://aldotgis.dot.state.al.us/pubgis2/rest/services,Y,Y,OK,Y, 
156,2,Alabama,,,01,Alabama Department of Transportation,https://aldotgis.dot.state.al.us/pubgis3/rest/services,Y,Y,OK,Y,
157,2,Alabama,,,01,Alabama Forestry Commission,https://gis.forestry.alabama.gov/arcgis/rest/services,Y,Y,OK,Y,
158,2,Alabama,,,01,Alabama Geological Survey and Oil & Gas Board,https://map.gsa.state.al.us/arcgis/rest/services,Y,Y,OK,Y,
159,2,Alabama,,,01,Alabama various layers,https://maps.alabama.gov/algogis/rest/services,Y,Y,OK,Y, 
160,2,Alabama,,,01,Alabama various layers,https://alabamaflood.com/arcgis/rest/services,Y,Y,OK,Y, 
161,2,Alabama,,,01,Alabama various layers,https://services7.arcgis.com/jF2q3LPxL7PETdYk/arcgis/rest/services,Y,Y,OK,Y, Parcel layers for (all?) counties 
162,2,Alabama,Autauga,,01001,,https://www.emapsplus.com/arcgis/rest/services/Alabama/AutaugaAnalyst/MapServer,Y,Y,OK,Y, 
163,2,Alabama,Autauga,,01001,,https://www.emapsplus.com/arcgis/rest/services/Alabama/AutaugaEmaps/MapServer,Y,Y,OK,Y,
164,2,Alabama,Baldwin,,01003,,https://web5.kcsgis.com/kcsgis/rest/services/Baldwin,Y,Y,OK,Y,
165,2,Alabama,Barbour,,01005,,https://www.emapsplus.com/arcgis/rest/services/Orthos/ALBarbour2015/ImageServer,Y,Y,OK,Y, 
166,2,Alabama,Barbour,,01005,,https://www.emapsplus.com/arcgis/rest/services/Orthos/ALBarbour/ImageServer,Y,Y,OK,Y,
167,2,Alabama,Blount,,01009,,https://web5.kcsgis.com/kcsgis/rest/services/Blount_Imagery,Y,Y,OK,Y,
168,2,Alabama,Bullock,,01011,,https://web5.kcsgis.com/kcsgis/rest/services/Bullock/Public/MapServer,Y,Y,OK,Y,
169,2,Alabama,Cherokee,,01019,,https://web2.kcsgis.com/kcsgis/rest/services/Cherokee,Y,Y,OK,Y, 
170,2,Alabama,Cherokee,,01019,,https://web2.kcsgis.com/kcsgis/rest/services/Imagery/AL_Cherokee_Imagery_2021/MapServer,Y,Y,OK,Y,
171,2,Alabama,Coffee,,01031,,https://www.emapsplus.com/arcgis/rest/services/Alabama/ALCoffeeAnalyst/MapServer,Y,Y,OK,Y, 
172,2,Alabama,Coffee,,01031,,https://www.emapsplus.com/arcgis/rest/services/Alabama/ALCoffeeEmaps/MapServer,Y,Y,OK,Y, 
173,2,Alabama,Coffee,,01031,,https://www.emapsplus.com/arcgis/rest/services/Orthos/ALCoffee/ImageServer,Y,Y,OK,Y,
174,2,Alabama,Colbert,,01033,,https://web2.kcsgis.com/kcsgis/rest/services/Colbert,Y,Y,OK,Y,
175,2,Alabama,Cullman,,01043,,https://web2.kcsgis.com/kcsgis/rest/services/Cullman,Y,Y,OK,Y, 
176,2,Alabama,Cullman,,01043,,https://web2.kcsgis.com/kcsgis/rest/services/Imagery/AL_Cullman_Imagery_2017/MapServer,Y,Y,OK,Y,
177,2,Alabama,Dallas,,01047,,https://services7.arcgis.com/deoj2Y8l1tBr7P5X/ArcGIS/rest/services/Dallas_Service/FeatureServer,Y,Y,OK,Y,
178,2,Alabama,Etowah,,01055,,https://web2.kcsgis.com/kcsgis/rest/services/Etowah,Y,Y,OK,Y,
179,2,Alabama,Franklin,,01059,,https://web2.kcsgis.com/kcsgis/rest/services/Franklin,Y,Y,OK,Y, 
180,2,Alabama,Franklin,,01059,,https://web5.kcsgis.com/kcsgis/rest/services/Franklin,Y,Y,OK,Y,
181,2,Alabama,Gardendale,,,,https://arcgis4.roktech.net/arcgis/rest/services/GardendaleAL,Y,Y,OK,Y,
182,2,Alabama,Greene,,01063,,https://services7.arcgis.com/deoj2Y8l1tBr7P5X/ArcGIS/rest/services/GreeneAL/FeatureServer,Y,Y,OK,Y,
183,2,Alabama,Hale,,01065,,https://services7.arcgis.com/deoj2Y8l1tBr7P5X/ArcGIS/rest/services/Hale_Service_2019/FeatureServer,Y,Y,OK,N,
184,2,Alabama,Jackson,,01071,,https://web2.kcsgis.com/kcsgis/rest/services/Jackson,Y,Y,OK,Y,
185,2,Alabama,Jefferson,,01073,,https://gis.jccal.org/arcgis/rest/services,Y,Y,OK,Y,
186,2,Alabama,Lauderdale,,01077,,https://web5.kcsgis.com/kcsgis/rest/services/Lauderdale,Y,Y,OK,Y,
187,2,Alabama,Lawrence,,01079,,https://web2.kcsgis.com/kcsgis/rest/services/Imagery/AL_Lawrence_Imagery_2016/MapServer,Y,Y,OK,Y, 
188,2,Alabama,Lawrence,,01079,,https://web2.kcsgis.com/kcsgis/rest/services/Imagery/AL_Lawrence_Imagery/MapServer,Y,Y,OK,Y,
189,2,Alabama,Limestone,,01083,,https://web2.kcsgis.com/kcsgis/rest/services/Limestone,Y,Y,OK,Y,
190,2,Alabama,Macon,,01087,,https://www.emapsplus.com/arcgis/rest/services/Orthos/Macon2013_Imagery/ImageServer,Y,Y,OK,Y,
191,2,Alabama,Madison,,01089,,https://maps.madisonal.gov/server/rest/services,Y,Y,OK,Y,
192,2,Alabama,Madison,,01089,,https://www.emapsplus.com/arcgis/rest/services/Alabama/MadisonAnalyst/MapServer,Y,Y,OK,Y, 
193,2,Alabama,Madison,,01089,,https://www.emapsplus.com/arcgis/rest/services/Alabama/MadisonAnalystSales/MapServer,Y,Y,OK,Y, 
194,2,Alabama,Madison,,01089,,https://www.emapsplus.com/arcgis/rest/services/Alabama/MadisonEmapsDMO/MapServer,Y,Y,OK,Y, 
195,2,Alabama,Madison,,01089,,https://www.emapsplus.com/arcgis/rest/services/Orthos/Madison2012_Imagery/ImageServer,Y,Y,OK,Y, 
196,2,Alabama,Madison,,01089,,https://www.emapsplus.com/arcgis/rest/services/Orthos/Madison2015_Imagery/ImageServer,Y,Y,OK,Y, 
197,2,Alabama,Madison,,01089,,https://www.emapsplus.com/arcgis/rest/services/Orthos/Madison2016_Imagery/ImageServer,Y,Y,OK,Y, 
198,2,Alabama,Madison,,01089,,https://www.emapsplus.com/arcgis/rest/services/Orthos/Madison2018_Imagery/ImageServer,Y,Y,OK,Y, 
199,2,Alabama,Madison,,01089,,https://www.emapsplus.com/arcgis/rest/services/Orthos/Madison2019_Imagery/ImageServer,Y,Y,OK,Y, 
200,2,Alabama,Madison,,01089,,https://web2.kcsgis.com/kcsgis/rest/services/Madison,Y,Y,OK,Y,
201,2,Alabama,Marshall,,01095,,https://web2.kcsgis.com/kcsgis/rest/services/Marshall,Y,Y,OK,Y,
202,2,Alabama,Mobile,,01097,,https://services2.arcgis.com/dJHAcAx6kccDBtM6/arcgis/rest/services,Y,Y,OK,Y,
203,2,Alabama,Montgomery,,01101,,https://gis.montgomeryal.gov/server/rest/services,Y,Y,OK,Y,
